,Row ID,Order Date,Contact Name,Country,City,Continent,Subregion,Customer,Customer ID,Industry,Segment,Product,License,Sales,Quantity,Discount,Sub_Discount,Profit,Outlier_Type,Ratio Profit
0,1,2022-11-09,Nathan Bell,Ireland,Dublin,Europe,UKIR,Chevron,1017,Energy,SMB,Marketing Suite,16GRM07R1K,261.96,2,0.0,Normal Price,41.9136,No Outlier,16.000000000000004
1,2,2022-11-09,Nathan Bell,Ireland,Dublin,Europe,UKIR,Chevron,1017,Energy,SMB,FinanceHub,QLIW57KZUV,731.94,3,0.0,Normal Price,219.582,Positive Outlier,30.0
2,3,2022-06-13,Deirdre Bailey,United States,New York City,America,NAMER,Phillips 66,1056,Energy,Strategic,FinanceHub,JI6BVL70HQ,14.62,2,0.0,Normal Price,6.8714,No Outlier,47.0
3,4,2021-10-11,Zoe Hodges,Germany,Stuttgart,Europe,EU-WEST,Royal Dutch Shell,1031,Energy,SMB,ContactMatcher,DE9GJKGD44,957.5775,5,45.0,Middle,-383.031,Negative Outlier,-40.0
4,5,2021-10-11,Zoe Hodges,Germany,Stuttgart,Europe,EU-WEST,Royal Dutch Shell,1031,Energy,SMB,Marketing Suite - Gold,OIF7NY23WD,22.368,2,20.0,Lower,2.5164,No Outlier,11.25
5,6,2020-06-09,Thomas Hodges,United States,New York City,America,NAMER,BNP Paribas,1065,Finance,SMB,SaaS Connector Pack,8RM88WFOAE,48.86,7,0.0,Normal Price,14.1694,No Outlier,28.999999999999996
6,7,2020-06-09,Thomas Hodges,United States,New York City,America,NAMER,BNP Paribas,1065,Finance,SMB,ChatBot Plugin,4SYTVM0746,7.28,4,0.0,Normal Price,1.9656,No Outlier,27.0
7,8,2020-06-09,Thomas Hodges,United States,New York City,America,NAMER,BNP Paribas,1065,Finance,SMB,Site Analytics,07842ES7DY,907.152,6,20.0,Lower,90.7152,Positive Outlier,10.0
8,9,2020-06-09,Thomas Hodges,United States,New York City,America,NAMER,BNP Paribas,1065,Finance,SMB,ContactMatcher,XPBOBXWXA3,18.504,3,20.0,Lower,5.7825,No Outlier,31.249999999999993
9,10,2020-06-09,Thomas Hodges,United States,New York City,America,NAMER,BNP Paribas,1065,Finance,SMB,OneView,71J8P9Z1P0,114.9,5,0.0,Normal Price,34.47,No Outlier,30.0
10,11,2020-06-09,Thomas Hodges,United States,New York City,America,NAMER,BNP Paribas,1065,Finance,SMB,ContactMatcher,43NZ37VE2D,1706.184,9,20.0,Lower,85.3092,Positive Outlier,5.0
11,12,2020-06-09,Thomas Hodges,United States,New York City,America,NAMER,BNP Paribas,1065,Finance,SMB,Site Analytics,JG14MOU94R,911.424,4,20.0,Lower,68.3568,Positive Outlier,7.500000000000001
12,13,2023-04-16,Adrian Hunter,Sweden,Stockholm,Europe,NOR,Engie,1062,Energy,SMB,Support,FE5QJBIUN1,15.552,3,20.0,Lower,5.4432,No Outlier,35.0
13,14,2022-12-06,Adrian Abraham,Canada,Toronto,America,NAMER,Microsoft,1066,Tech,SMB,ContactMatcher,COK66F8IC1,407.976,3,20.0,Lower,132.5922,Positive Outlier,32.49999999999999
14,15,2021-11-22,Emily Morrison,Japan,Saitama,Asian,JAPN,Pfizer,1074,Healthcare,Enterprise,OneView,D8FGC56NNX,68.81,5,80.0,Higher,-123.858,Negative Outlier,-180.0
15,16,2021-11-22,Emily Morrison,Japan,Saitama,Asian,JAPN,Pfizer,1074,Healthcare,Enterprise,ContactMatcher,NRKT5R1A1G,2.544,3,80.0,Higher,-3.816,Positive Outlier,-150.0
16,17,2020-11-11,Claire Welch,Italy,Naples,Europe,EU,Toyota Motor,1087,Manufacturing,SMB,Marketing Suite - Gold,K5XHYWZ1OV,665.88,6,0.0,Normal Price,13.3176,Positive Outlier,2.0
17,18,2020-05-13,Carol Campbell,Turkey,Ankara,Europe,MEA,Home Depot,1047,Retail,SMB,Marketing Suite - Gold,LWWKLPY4AU,55.5,2,0.0,Normal Price,9.99,No Outlier,18.0
18,19,2020-08-27,Blake Hughes,United States,Los Angeles,America,NAMER,Wells Fargo,1099,Finance,SMB,ChatBot Plugin,ZYL9KDTY68,8.56,2,0.0,Normal Price,2.4824,No Outlier,28.999999999999996
19,20,2020-08-27,Blake Hughes,United States,Los Angeles,America,NAMER,Wells Fargo,1099,Finance,SMB,Site Analytics,I54O29EW1T,213.48,3,20.0,Lower,16.011,No Outlier,7.5
20,21,2020-08-27,Blake Hughes,United States,Los Angeles,America,NAMER,Wells Fargo,1099,Finance,SMB,ContactMatcher,E3TF1V9DE8,22.72,4,20.0,Lower,7.384,No Outlier,32.5
21,22,2022-12-10,Melanie Sharp,Costa Rica,San José,America,LATAM,Carrefour,1048,Retail,Strategic,ChatBot Plugin,B83G92QX65,19.46,7,0.0,Normal Price,5.0596,No Outlier,25.999999999999996
22,23,2022-12-10,Melanie Sharp,Costa Rica,San José,America,LATAM,Carrefour,1048,Retail,Strategic,OneView,VWDIYAB44Z,60.34,7,0.0,Normal Price,15.6884,No Outlier,25.999999999999996
23,24,2023-07-17,Luke Bower,France,Paris,Europe,EU-WEST,Costco Wholesale,1025,Retail,SMB,FinanceHub,AJOASBK55N,71.372,2,30.0,Middle,-1.0196,No Outlier,-1.4285714285714286
24,25,2021-09-25,Jonathan Ferguson,Turkey,Istanbul,Europe,MEA,McKesson,1063,Consumer Products,SMB,ContactMatcher,P1I8X35CUZ,1044.63,3,0.0,Normal Price,240.2649,Positive Outlier,23.0
25,26,2022-01-16,Sam Parsons,United States,New York City,America,NAMER,Siemens,1043,Manufacturing,SMB,ContactMatcher,NRCR8EBL62,11.648,2,20.0,Lower,4.2224,No Outlier,36.25000000000001
26,27,2022-01-16,Sam Parsons,United States,New York City,America,NAMER,Siemens,1043,Manufacturing,SMB,Data Smasher,PV9U9D3A6O,90.57,3,0.0,Normal Price,11.7741,No Outlier,13.0
27,28,2021-09-17,Neil Gill,France,Paris,Europe,EU-WEST,Intel,1051,Tech,SMB,Marketing Suite,F8G07TWQ17,3083.43,7,50.0,Middle,-1665.0522,Negative Outlier,-54.0
28,29,2021-09-17,Neil Gill,France,Paris,Europe,EU-WEST,Intel,1051,Tech,SMB,ContactMatcher,BGL4P1U2CZ,9.618,2,70.0,Higher,-7.0532,Positive Outlier,-73.33333333333334
29,30,2021-09-17,Neil Gill,France,Paris,Europe,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack,B5H6S070N8,124.2,3,20.0,Lower,15.525,No Outlier,12.5
30,31,2021-09-17,Neil Gill,France,Paris,Europe,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack - Gold,D9635UBJOG,3.264,2,20.0,Lower,1.1016,No Outlier,33.75
31,32,2021-09-17,Neil Gill,France,Paris,Europe,EU-WEST,Intel,1051,Tech,SMB,ChatBot Plugin,6SQI2HAZ4C,86.304,6,20.0,Lower,9.7092,No Outlier,11.249999999999998
32,33,2021-09-17,Neil Gill,France,Paris,Europe,EU-WEST,Intel,1051,Tech,SMB,ContactMatcher,GPQ0TDTGIM,6.858,6,70.0,Higher,-5.715,Positive Outlier,-83.33333333333334
